campaign,kit_id,transect_location,acidification,tn_perc,tc_perc,visible_minerals,visible_iron_oxidation,visible_white_flakes,root_mass,tn_flag,tc_flag
EC1,K023,Upland,FALSE,1.01,19.54,Quartz,No,No,Moderate roots present,rep outlier,rep outlier
EC1,K058,Upland,FALSE,1.66,32.47,None,No,No,Moderate roots present,rep outlier,rep outlier
EC1,K018,Upland,FALSE,1.47,10.82,None,No,No,Moderate roots present,rep outlier,rep outlier
EC1,K011,Upland,FALSE,0.26,3.32,None,No,No,Few roots present,rep outlier,rep outlier
EC1,K019,Upland,FALSE,0.64,7.63,None,No,No,Moderate roots present,rep outlier,rep outlier
EC1,K044,Upland,FALSE,1.19,23.73,Quartz,No,No,Moderate roots present,rep outlier,rep outlier
EC1,K054,Upland,FALSE,0.57,10.24,Quartz,No,No,Few roots present,rep outlier,rep outlier
EC1,K062,Upland,FALSE,0.5,10.06,None,No,No,Few roots present,rep outlier,rep outlier
EC1,K052,Upland,FALSE,0.22,3.87,None,No,NA,Few roots present,rep outlier,rep outlier
EC1,K040,Upland,FALSE,0.92,46.58,None,No,No,Few roots present,rep outlier,rep outlier
EC1,K024,Upland,FALSE,1.36,33.46,Quartz,No,No,Few roots present,rep outlier,rep outlier
EC1,K033,Upland,FALSE,1,23.75,Quartz,No,No,Few roots present,rep outlier,rep outlier
EC1,K034,Upland,FALSE,0.66,9.8,Quartz,No,No,Few roots present,rep outlier,rep outlier
EC1,K017,Upland,FALSE,0.34,5.85,Quartz,No,No,Few roots present,rep outlier,rep outlier
EC1,K026,Upland,FALSE,0.17,2.23,None,No,No,Few roots present,rep outlier,rep outlier
EC1,K045,Upland,FALSE,1.8,40.48,Quartz,No,No,Moderate roots present,rep outlier,rep outlier
EC1,K050,Upland,FALSE,1.38,35.14,None,Yes,No,Moderate roots present,rep outlier,rep outlier
EC1,K013,Upland,FALSE,1.12,15.05,Quartz,No,No,Moderate roots present,rep outlier,rep outlier
EC1,K001,Upland,FALSE,0.18,4.25,None,No,No,Few roots present,rep outlier,rep outlier
EC1,K007,Upland,FALSE,0.55,9.69,None,No,No,Few roots present,rep outlier,rep outlier
EC1,K051,Upland,FALSE,0.09,2.31,None,No,No,Few roots present,rep outlier,rep outlier
EC1,K042,Upland,FALSE,0.54,10.04,Quartz,No,No,Moderate roots present,rep outlier,rep outlier
EC1,K022,Upland,FALSE,0.72,10.67,None,No,No,Few roots present,rep outlier,rep outlier
EC1,K041,Upland,FALSE,1.12,45.27,None,No,No,Few roots present,rep outlier,rep outlier
EC1,K038,Upland,FALSE,0.67,9.7,None,No,No,Few roots present,rep outlier,rep outlier
EC1,K035,Upland,FALSE,0.51,7.39,None,No,No,Few roots present,rep outlier,rep outlier
EC1,K015,Upland,FALSE,0.38,6.53,Quartz,No,No,Moderate roots present,rep outlier,rep outlier
EC1,K054,Wetland,FALSE,0.92,12.76,None,No,No,Few roots present,rep outlier,rep outlier
EC1,K041,Wetland,FALSE,0.11,1.58,None,Yes,No,Few roots present,rep outlier,rep outlier
EC1,K007,Wetland,FALSE,0.73,6.04,None,No,No,Few roots present,rep outlier,rep outlier
EC1,K048,Wetland,FALSE,0.52,5.89,Mica,No,No,Few roots present,rep outlier,rep outlier
EC1,K021,Wetland,FALSE,0.81,7.45,None,No,No,Moderate roots present,rep outlier,rep outlier
EC1,K053,Wetland,FALSE,0.94,7.88,None,Yes,No,Few roots present,rep outlier,rep outlier
EC1,K059,Wetland,FALSE,1.53,16.43,None,No,Yes,Root dominated,rep outlier,rep outlier
EC1,K050,Wetland,FALSE,0.65,6.82,None,Yes,No,Root dominated,rep outlier,rep outlier
EC1,K047,Wetland,FALSE,1.95,24.76,Quarts,Yes,No,Moderate roots present,rep outlier,rep outlier
EC1,K019,Wetland,FALSE,NA,0.63,Quartz,No,No,None,NA,rep outlier
EC1,K062,Wetland,FALSE,0.76,6.83,None,Yes,No,Few roots,rep outlier,rep outlier
EC1,K010,Wetland,FALSE,0.45,5.06,None,No,No,Few roots present,rep outlier,rep outlier
EC1,K015,Wetland,FALSE,0.53,6.37,None,No,No,Few roots present,rep outlier,rep outlier
EC1,K029,Wetland,FALSE,0.54,4.93,None,No,No,Moderate roots present,rep outlier,rep outlier
EC1,K045,Wetland,FALSE,0.83,8.43,None,No,No,Moderate roots present,rep outlier,rep outlier
EC1,K049,Wetland,FALSE,0.12,1.27,Quartz,No,No,Moderate roots present,rep outlier,rep outlier
EC1,K017,Wetland,FALSE,0.64,6.67,None,No,No,Few roots present,rep outlier,rep outlier
EC1,K056,Wetland,FALSE,0.7,7.53,None,No,Yes,Moderate roots present,rep outlier,rep outlier
EC1,K022,Wetland,FALSE,1.27,10.39,None,No,No,Few roots present,rep outlier,rep outlier
EC1,K051,Wetland,FALSE,0.2,1.97,Quartz,Yes,No,None,rep outlier,rep outlier
EC1,K042,Wetland,FALSE,0.67,7.02,Mica,No,No,Moderate roots present,rep outlier,rep outlier
EC1,K024,Wetland,FALSE,1.3,18.03,None,No,No,Root dominated,rep outlier,rep outlier
EC1,K018,Wetland,FALSE,0.09,1.04,Quartz,No,Yes,None,rep outlier,rep outlier
EC1,K009,Wetland,FALSE,0.75,8.84,None,Yes,No,Few roots present,rep outlier,rep outlier
EC1,K044,Wetland,FALSE,0.5,4.77,None,No,No,Few roots present,rep outlier,rep outlier
EC1,K001,Wetland,FALSE,0.65,6.58,None,No,No,Few roots present,rep outlier,rep outlier
EC1,K035,Wetland,FALSE,1.25,11.03,None,No,No,Moderate roots present,rep outlier,rep outlier
EC1,K025,Wetland,FALSE,0.32,3.59,None,Yes,No,Few roots present,rep outlier,rep outlier
EC1,K037,Wetland,FALSE,0.55,5.32,None,Yes,No,Few roots present,rep outlier,rep outlier
EC1,K016,Wetland,FALSE,0.51,5.33,None,No,Yes,No roots,rep outlier,rep outlier
EC1,K013,Wetland,FALSE,1.88,17.78,None,No,No,Root dominated,rep outlier,rep outlier
EC1,K014,Wetland,FALSE,0.24,2.52,Quartz,No,No,Few roots present,rep outlier,rep outlier
EC1,K058,Wetland,FALSE,0.57,5.36,None,No,No,Moderate roots present,rep outlier,rep outlier
EC1,K040,Wetland,FALSE,0.18,2.65,None,Yes,No,Moderate roots present,rep outlier,rep outlier
EC1,K026,Wetland,FALSE,0.36,4.19,None,Yes,No,Moderate roots present,rep outlier,rep outlier
EC1,K012,Wetland,FALSE,0.51,4.58,Quartz,No,No,Moderate roots present,rep outlier,rep outlier
EC1,K011,Wetland,FALSE,0.56,5.82,None,Yes,No,Few roots present,rep outlier,rep outlier
