kit_id,transect_location,collected,gwc_perc,loi_perc,bulk_density_g_cm3
KK004,Sediment,TRUE,NA,NA,NA
KK004,Wetland,TRUE,NA,NA,NA
KK004,Transition,TRUE,NA,NA,NA
KK004,Upland,TRUE,NA,NA,NA
KK008,Sediment,TRUE,NA,NA,NA
KK008,Wetland,TRUE,NA,NA,NA
KK008,Transition,TRUE,NA,NA,NA
KK008,Upland,TRUE,NA,NA,NA
KK009,Sediment,TRUE,NA,NA,NA
KK009,Wetland,TRUE,NA,NA,NA
KK009,Transition,TRUE,NA,NA,NA
KK009,Upland,TRUE,NA,NA,NA
KK010,Sediment,TRUE,NA,NA,NA
KK010,Wetland,TRUE,NA,NA,NA
KK010,Transition,TRUE,NA,NA,NA
KK010,Upland,TRUE,NA,NA,NA
KK011,Sediment,TRUE,NA,NA,NA
KK011,Wetland,TRUE,NA,NA,NA
KK011,Transition,TRUE,NA,NA,NA
KK011,Upland,TRUE,NA,NA,NA
KK012,Sediment,TRUE,NA,NA,NA
KK012,Wetland,TRUE,NA,NA,NA
KK013,Sediment,TRUE,NA,NA,NA
KK013,Wetland,TRUE,NA,NA,NA
KK013,Transition,TRUE,NA,NA,NA
KK013,Upland,TRUE,NA,NA,NA
KK014,Sediment,TRUE,NA,NA,NA
KK015,Sediment,TRUE,NA,NA,NA
KK015,Wetland,TRUE,NA,NA,NA
KK015,Transition,TRUE,NA,NA,NA
KK015,Upland,TRUE,NA,NA,NA
KK016,Sediment,TRUE,NA,NA,NA
KK016,Wetland,TRUE,NA,NA,NA
KK016,Transition,TRUE,NA,NA,NA
KK016,Upland,TRUE,NA,NA,NA
KK017,Sediment,TRUE,NA,NA,NA
KK017,Wetland,TRUE,NA,NA,NA
KK017,Transition,TRUE,NA,NA,NA
KK017,Upland,TRUE,NA,NA,NA
KK018,Sediment,TRUE,NA,NA,NA
KK018,Wetland,TRUE,NA,NA,NA
KK018,Transition,TRUE,NA,NA,NA
KK018,Upland,TRUE,NA,NA,NA
KK019,Sediment,TRUE,NA,NA,NA
KK019,Wetland,TRUE,NA,NA,NA
KK019,Transition,TRUE,NA,NA,NA
KK019,Upland,TRUE,NA,NA,NA
KK020,Upland,TRUE,NA,NA,NA
KK021,Sediment,TRUE,NA,NA,NA
KK021,Wetland,TRUE,NA,NA,NA
KK021,Transition,TRUE,NA,NA,NA
KK021,Upland,TRUE,NA,NA,NA
KK022,Sediment,TRUE,NA,NA,NA
KK022,Wetland,TRUE,NA,NA,NA
KK022,Transition,TRUE,NA,NA,NA
KK022,Upland,TRUE,NA,NA,NA
KK023,Sediment,TRUE,NA,NA,NA
KK023,Wetland,TRUE,NA,NA,NA
KK023,Upland,TRUE,NA,NA,NA
KK024,Sediment,TRUE,NA,NA,NA
KK024,Wetland,TRUE,NA,NA,NA
KK024,Transition,TRUE,NA,NA,NA
KK024,Upland,TRUE,NA,NA,NA
KK025,Sediment,TRUE,NA,NA,NA
KK025,Wetland,TRUE,NA,NA,NA
KK025,Transition,TRUE,NA,NA,NA
KK025,Upland,TRUE,NA,NA,NA
KK026,Sediment,TRUE,NA,NA,NA
KK026,Wetland,TRUE,NA,NA,NA
KK026,Transition,TRUE,NA,NA,NA
KK026,Upland,TRUE,NA,NA,NA
KK027,Sediment,TRUE,NA,NA,NA
KK027,Wetland,TRUE,NA,NA,NA
KK027,Transition,TRUE,NA,NA,NA
KK027,Upland,TRUE,NA,NA,NA
KK029,Sediment,TRUE,NA,NA,NA
