campaign,kit_id,transect_location,sample_type,collected,sample_method
EC1,K001,water,water,FALSE,vial_40ml
EC1,K001,water,water,FALSE,vial_15ml
EC1,K001,water,water,FALSE,bottle_1l
EC1,K001,water,water,FALSE,bottle_125ml
EC1,K001,water,water,FALSE,filter
EC1,K001,sediment,sediment,TRUE,jar
EC1,K001,sediment,sediment,TRUE,bag
EC1,K001,wetland,soil,TRUE,jar
EC1,K001,wetland,soil,TRUE,bag
EC1,K001,wetland,soil,TRUE,hyprop
EC1,K001,transition,soil,TRUE,jar
EC1,K001,transition,soil,TRUE,bag
EC1,K001,transition,soil,TRUE,hyprop
EC1,K001,upland,soil,TRUE,jar
EC1,K001,upland,soil,TRUE,bag
EC1,K001,upland,soil,TRUE,hyprop
EC1,K004,water,water,TRUE,vial_40ml
EC1,K004,water,water,TRUE,vial_15ml
EC1,K004,water,water,TRUE,bottle_1l
EC1,K004,water,water,TRUE,bottle_125ml
EC1,K004,water,water,TRUE,filter
EC1,K004,sediment,sediment,TRUE,jar
EC1,K004,sediment,sediment,TRUE,bag
EC1,K004,wetland,soil,TRUE,jar
EC1,K004,wetland,soil,TRUE,bag
EC1,K004,wetland,soil,TRUE,hyprop
EC1,K004,transition,soil,TRUE,jar
EC1,K004,transition,soil,TRUE,bag
EC1,K004,transition,soil,TRUE,hyprop
EC1,K004,upland,soil,TRUE,jar
EC1,K004,upland,soil,TRUE,bag
EC1,K004,upland,soil,TRUE,hyprop
EC1,K007,water,water,TRUE,vial_40ml
EC1,K007,water,water,TRUE,vial_15ml
EC1,K007,water,water,TRUE,bottle_1l
EC1,K007,water,water,TRUE,bottle_125ml
EC1,K007,water,water,TRUE,filter
EC1,K007,sediment,sediment,TRUE,jar
EC1,K007,sediment,sediment,TRUE,bag
EC1,K007,wetland,soil,TRUE,jar
EC1,K007,wetland,soil,TRUE,bag
EC1,K007,wetland,soil,TRUE,hyprop
EC1,K007,transition,soil,TRUE,jar
EC1,K007,transition,soil,TRUE,bag
EC1,K007,transition,soil,TRUE,hyprop
EC1,K007,upland,soil,TRUE,jar
EC1,K007,upland,soil,TRUE,bag
EC1,K007,upland,soil,TRUE,hyprop
EC1,K008,water,water,TRUE,vial_40ml
EC1,K008,water,water,TRUE,vial_15ml
EC1,K008,water,water,TRUE,bottle_1l
EC1,K008,water,water,TRUE,bottle_125ml
EC1,K008,water,water,TRUE,filter
EC1,K008,sediment,sediment,TRUE,jar
EC1,K008,sediment,sediment,TRUE,bag
EC1,K008,wetland,soil,TRUE,jar
EC1,K008,wetland,soil,TRUE,bag
EC1,K008,wetland,soil,TRUE,hyprop
EC1,K008,transition,soil,TRUE,jar
EC1,K008,transition,soil,TRUE,bag
