sample_id,transect_location,Post-Ignition weight
EC1_K012_Sediment,Sediment,0.1899999999999995
EC1_K012_Sediment,Wetland,0.1899999999999995
EC1_K012_Sediment,Transition,0.1899999999999995
EC1_K012_Sediment,Upland,0.1899999999999995
EC1_K012_Wetland,Sediment,2.84
EC1_K012_Wetland,Wetland,2.84
EC1_K012_Wetland,Transition,2.84
EC1_K012_Wetland,Upland,2.84
EC1_K013_Sediment,Sediment,1.120000000000001
EC1_K013_Sediment,Wetland,1.120000000000001
EC1_K013_Sediment,Transition,1.120000000000001
EC1_K013_Sediment,Upland,1.120000000000001
EC1_K013_Wetland,Sediment,0.7699999999999996
EC1_K013_Wetland,Wetland,0.7699999999999996
EC1_K013_Wetland,Transition,0.7699999999999996
EC1_K013_Wetland,Upland,0.7699999999999996
EC1_K013_Transition,Sediment,2.879999999999999
EC1_K013_Transition,Wetland,2.879999999999999
EC1_K013_Transition,Transition,2.879999999999999
EC1_K013_Transition,Upland,2.879999999999999
EC1_K013_Upland,Sediment,3.459999999999999
EC1_K013_Upland,Wetland,3.459999999999999
EC1_K013_Upland,Transition,3.459999999999999
EC1_K013_Upland,Upland,3.459999999999999
EC1_K036_Sediment,Sediment,0.5699999999999998
EC1_K036_Sediment,Wetland,0.5699999999999998
EC1_K036_Sediment,Transition,0.5699999999999998
EC1_K036_Sediment,Upland,0.5699999999999998
EC1_K036_Wetland,Sediment,0.7399999999999998
EC1_K036_Wetland,Wetland,0.7399999999999998
EC1_K036_Wetland,Transition,0.7399999999999998
EC1_K036_Wetland,Upland,0.7399999999999998
EC1_K036_Transition,Sediment,0.47
EC1_K036_Transition,Wetland,0.47
EC1_K036_Transition,Transition,0.47
EC1_K036_Transition,Upland,0.47
EC1_K036_Upland,Sediment,0.45999999999999996
EC1_K036_Upland,Wetland,0.45999999999999996
EC1_K036_Upland,Transition,0.45999999999999996
EC1_K036_Upland,Upland,0.45999999999999996
EC1_K042_Sediment,Sediment,2.8600000000000003
EC1_K042_Sediment,Wetland,2.8600000000000003
EC1_K042_Sediment,Transition,2.8600000000000003
EC1_K042_Sediment,Upland,2.8600000000000003
EC1_K042_Wetland,Sediment,1.0499999999999998
EC1_K042_Wetland,Wetland,1.0499999999999998
EC1_K042_Wetland,Transition,1.0499999999999998
EC1_K042_Wetland,Upland,1.0499999999999998
EC1_K042_Transition,Sediment,0.4099999999999999
EC1_K042_Transition,Wetland,0.4099999999999999
EC1_K042_Transition,Transition,0.4099999999999999
EC1_K042_Transition,Upland,0.4099999999999999
EC1_K042_Upland,Sediment,3.8
EC1_K042_Upland,Wetland,3.8
EC1_K042_Upland,Transition,3.8
EC1_K042_Upland,Upland,3.8
EC1_K048_Sediment,Sediment,2.08
EC1_K048_Sediment,Wetland,2.08
EC1_K048_Sediment,Transition,2.08
EC1_K048_Sediment,Upland,2.08
EC1_K048_Wetland,Sediment,1.92
EC1_K048_Wetland,Wetland,1.92
EC1_K048_Wetland,Transition,1.92
EC1_K048_Wetland,Upland,1.92
EC1_K048_Transition,Sediment,1.2199999999999998
EC1_K048_Transition,Wetland,1.2199999999999998
EC1_K048_Transition,Transition,1.2199999999999998
EC1_K048_Transition,Upland,1.2199999999999998
EC1_K048_Upland,Sediment,3.53
EC1_K048_Upland,Wetland,3.53
EC1_K048_Upland,Transition,3.53
EC1_K048_Upland,Upland,3.53
EC1_K049_Sediment,Sediment,2.71
EC1_K049_Sediment,Wetland,2.71
EC1_K049_Sediment,Transition,2.71
EC1_K049_Sediment,Upland,2.71
EC1_K049_Wetland,Sediment,3.1399999999999997
EC1_K049_Wetland,Wetland,3.1399999999999997
EC1_K049_Wetland,Transition,3.1399999999999997
EC1_K049_Wetland,Upland,3.1399999999999997
EC1_K045_Sediment,Sediment,1.7599999999999998
EC1_K045_Sediment,Wetland,1.7599999999999998
EC1_K045_Sediment,Transition,1.7599999999999998
EC1_K045_Sediment,Upland,1.7599999999999998
EC1_K045_Wetland,Sediment,0.629999999999999
EC1_K045_Wetland,Wetland,0.629999999999999
EC1_K045_Wetland,Transition,0.629999999999999
EC1_K045_Wetland,Upland,0.629999999999999
EC1_K045_Transition,Sediment,0.370000000000001
EC1_K045_Transition,Wetland,0.370000000000001
EC1_K045_Transition,Transition,0.370000000000001
EC1_K045_Transition,Upland,0.370000000000001
EC1_K045_Upland,Sediment,0.6499999999999999
EC1_K045_Upland,Wetland,0.6499999999999999
EC1_K045_Upland,Transition,0.6499999999999999
EC1_K045_Upland,Upland,0.6499999999999999
EC1_K025_Sediment,Sediment,3.26
EC1_K025_Sediment,Wetland,3.26
EC1_K025_Sediment,Transition,3.26
EC1_K025_Sediment,Upland,3.26
EC1_K025_Wetland,Sediment,1.8599999999999994
EC1_K025_Wetland,Wetland,1.8599999999999994
EC1_K025_Wetland,Transition,1.8599999999999994
EC1_K025_Wetland,Upland,1.8599999999999994
EC1_K025_Transition,Sediment,1.3399999999999999
EC1_K025_Transition,Wetland,1.3399999999999999
