campaign,kit_id,transect_location,Sample Description,Abs 250nm,Abs 254nm,Abs 281nm,Abs 350nm,Abs 365nm,Abs 412nm,Abs 440nm,A250/A365,SUVA254,S275-295,r2 of the fit,S350-400,r2 of the fit,Sr,C,A,T,B,M,FDOM,FI,HIX,FRESH,BIX
EC1,K008,water,K008,0.019478517,0.018900189,0.018900189,0.003564333,0.00277169,0.001235254,0.000814786,7.027668306,1.8900189,0.020396965,0.99906421,0.017394132,0.999704816,1.172634836,0.087397614,0.146047497,0.055609501,0.047431506,0.090503938,0.050135132,1.628948465,0.816392962,0.803947252,0.819939878
EC1,K009,water,K009,0.032710992,0.031941483,0.031941483,0.008875039,0.007117027,0.003285173,0.002182861,4.596159852,3.194148316,0.01486965,0.999495018,0.015914301,0.999555273,0.934357745,0.133679919,0.205175628,0.077552495,0.075805884,0.137653382,0.080234918,1.601121101,0.824853464,0.773439412,0.790262529
EC1,K010,water,K010,0.028620838,0.027845758,0.027845758,0.006030563,0.004678371,0.001999831,0.001285333,6.117693091,2.78457581,0.017266889,0.999330749,0.017694805,0.999841094,0.975816829,0.1593452,0.246982823,0.078858673,0.053595,0.162706774,0.094845036,1.630638393,0.856763458,0.761198458,0.785146895
EC1,K011,water,K011,0.022154201,0.021535032,0.021535032,0.00445039,0.003490795,0.001558641,0.001029024,6.346463606,2.153503237,0.019010832,0.999354976,0.016948992,0.999778407,1.121649663,0.099654803,0.161542781,0.060546286,0.049442867,0.104254395,0.058762144,1.596932748,0.822291078,0.780357007,0.798966228
EC1,K012,water,K012,0.055017915,0.053741978,0.053741978,0.016639448,0.013396389,0.006052572,0.004008897,4.10692128,5.374197754,0.012888006,0.999672743,0.016299661,0.998948014,0.790691681,0.212112214,0.325332716,0.082021977,0.10614674,0.212146159,0.122576002,1.560212457,0.877069314,0.658832092,0.665978979
EC1,K013,water,K013,0.033169865,0.032187451,0.032187451,0.007727236,0.006079809,0.002746947,0.001803862,5.455741326,3.218745118,0.015492475,0.999521372,0.016632391,0.999862282,0.931464092,0.176518867,0.280741892,0.068790499,0.04010576,0.174132384,0.114856034,1.566411496,0.899551194,0.69905808,0.711548537
EC1,K020,water,K020,0.019555456,0.018955734,0.018955734,0.003648148,0.002908477,0.00139893,0.000958976,6.723605995,1.895573375,0.020765084,0.999883873,0.015539994,0.999894497,1.336235044,0.057261046,0.105707944,0.043839089,0.043640124,0.06191194,0.031962989,1.498003002,0.788365278,0.737652138,0.754967857
EC1,K021,water,K021,0.035232039,0.034389415,0.034389415,0.010810548,0.008663725,0.004147553,0.002933479,4.066615572,3.438941473,0.012375236,0.999012932,0.015602223,0.999753757,0.79317131,0.122875629,0.186053889,0.064397022,0.111547275,0.126927333,0.066408941,1.633106341,0.834616686,0.733446569,0.755453744
EC1,K022,water,K022,0.036633725,0.035693569,0.035693569,0.008469225,0.006672481,0.003047701,0.002039051,5.490269988,3.569356915,0.0162128,0.999697179,0.016360108,0.999911595,0.990995941,0.164121896,0.246133988,0.055876269,0.035244875,0.163264666,0.094630894,1.540222121,0.897077236,0.635091662,0.63927441
EC1,K024,water,K024,0.034177515,0.033252046,0.033252046,0.007577877,0.00592885,0.002591198,0.001673068,5.764611063,3.32520458,0.016338377,0.999680013,0.017095565,0.999828025,0.955708535,0.159858462,0.260310511,0.061114205,0.031837855,0.158356654,0.099543744,1.532020766,0.899201159,0.696664656,0.703289475
EC1,K029,water,K029,0.052389183,0.051333907,0.051333907,0.016514199,0.013138683,0.00620683,0.004335303,3.987400033,5.133390694,0.01150266,0.999720981,0.015893823,0.999718998,0.723718905,0.241227054,0.378433335,0.074993731,0.062798368,0.224454311,0.170819293,1.585208323,0.910118029,0.635098195,0.638665821
EC1,K030,water,K030,0.039462271,0.038407975,0.038407975,0.010203086,0.007957378,0.003435909,0.002219558,4.959205435,3.840797545,0.013874517,0.999622874,0.017492499,0.999788957,0.793169511,0.211699333,0.320945847,0.071047055,0.041369194,0.199945218,0.142830377,1.611789981,0.902874329,0.679288124,0.684352264
EC1,K034,water,K034,0.034603287,0.033774376,0.033774376,0.007755412,0.006033436,0.002578189,0.001651868,5.73525378,3.377437639,0.0163782,0.999586159,0.01763441,0.99978768,0.92876368,0.193043409,0.296089269,0.068436147,0.034927304,0.188304664,0.118318651,1.546043066,0.902520663,0.684715183,0.694196716
EC1,K036,water,K036,0.032207182,0.031385428,0.031385428,0.007435595,0.005910667,0.002802339,0.001891806,5.448993298,3.13854279,0.016163671,0.999327988,0.015607046,0.999892191,1.035665005,0.134513809,0.223209296,0.072403509,0.048674272,0.136035693,0.085837101,1.514113165,0.859682143,0.752759665,0.761547779
EC1,K037,water,K037,0.030464358,0.029727831,0.029727831,0.007000281,0.005454994,0.002344279,0.001550125,5.58467327,2.972783104,0.016230196,0.999655708,0.017613379,0.99976575,0.921469704,0.153471928,0.235971866,0.057370032,0.036793815,0.15195947,0.093167451,1.557987933,0.891329514,0.682347334,0.690721955
EC1,K038,water,K038,0.03429883,0.033425602,0.033425602,0.00805317,0.006331409,0.002810864,0.00185965,5.417250409,3.342560179,0.015808672,0.999419041,0.016915023,0.999770407,0.934593617,0.166153416,0.252333289,0.077764426,0.058741583,0.164390856,0.09898192,1.564806773,0.841705513,0.697005452,0.708974628
EC1,K040,water,K040,0.025176121,0.024464014,0.024464014,0.005173515,0.004056879,0.001847685,0.001316931,6.205786034,2.446401358,0.017996245,0.999383454,0.016914048,0.999601829,1.063982146,0.096032535,0.159300822,0.047984939,0.036827724,0.09842876,0.059469872,1.526921322,0.849658543,0.752410019,0.776967841
