kit_id,water_color_forel-ule_scale,water_dissolved_o2_mg_l,water_orp_mv,water_ph,upland_soil_temperature_c,upland_soil_moisture,transition_soil_temperature_degc,transition_soil_moisture,wetland_soil_temperature_c,wetland_soil_moisture
K001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K004,NA,NA,NA,NA,18.1,NA,17.9,NA,16.1,NA
K007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K008,17,7.51,NA,7.73,13.2,NA,14.4,NA,13.9,NA
K009,NA,8.94,NA,7.77,15.9,NA,14.8,NA,14.1,NA
K010,16,8.88,NA,7.71,14.1,NA,13.4,NA,12.6,NA
K011,16,8.81,NA,7.81,15.6,NA,15.9,NA,13.4,NA
K012,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
K013,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
K014,NA,NA,NA,7.3,NA,NA,NA,NA,NA,NA
K015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K016,16,4.68,NA,7.01,21.4,NA,21.5,NA,23.4,NA
K017,19,7.21,NA,7.09,20.8,NA,21.3,NA,22.1,NA
K018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K019,16,NA,NA,8.032,NA,NA,NA,NA,NA,NA
K020,NA,NA,NA,8.14,NA,NA,NA,NA,NA,NA
K021,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
K022,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
K023,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
K024,15,4.9,NA,7.04,NA,NA,NA,NA,NA,NA
K025,17,1.3,NA,6.61,19.8,NA,19.5,NA,19.6,NA
K026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K027,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
K029,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
K030,15,NA,NA,6.9,NA,NA,NA,NA,NA,NA
K033,5,7.96,NA,8.79,NA,NA,NA,NA,NA,NA
K034,NA,NA,NA,7.05,16.4,NA,16.3,NA,16,NA
K035,NA,NA,NA,NA,21,NA,20.8,no sensor; visibly saturated,22.8,NA
K036,NA,NA,NA,7.73,16.5,NA,16.1,NA,15.6,NA
K037,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
K038,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
K039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K040,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
K041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K042,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
K043,NA,NA,NA,7.75,NA,NA,NA,NA,NA,NA
K044,18,NA,NA,NA,16.8,NA,16.9,NA,16.4,NA
K045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K046,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
K047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K048,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
K049,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
K050,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
K051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K053,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
K054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K055,NA,7.15,NA,6.75,NA,NA,NA,NA,NA,NA
K056,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
K057,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA
K058,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
K059,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
K060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K062,17,NA,NA,NA,14.4,NA,14.9,NA,13.7,NA
