campaign,kit_id,transect_location,loi_perc
EC1,K012,Sediment,70
EC1,K013,Sediment,44
EC1,K036,Sediment,42
EC1,K042,Sediment,9
EC1,K048,Sediment,14
EC1,K049,Sediment,6
EC1,K045,Sediment,13
EC1,K025,Sediment,6
EC1,K027,Sediment,31
EC1,K014,Sediment,0
EC1,K061,Sediment,16
EC1,K004,Sediment,8
EC1,K016,Sediment,11
EC1,K023,Sediment,11
EC1,K035,Sediment,13
EC1,K052,Sediment,22
EC1,K062,Sediment,15
EC1,K047,Sediment,55
EC1,K053,Sediment,19
EC1,K033,Sediment,5
EC1,K039,Sediment,48
EC1,K059,Sediment,29
EC1,K054,Sediment,30
EC1,K017,Sediment,12
EC1,K034,Sediment,18
EC1,K015,Sediment,17
EC1,K021,Sediment,15
EC1,K022,Sediment,24
EC1,K026,Sediment,9
EC1,K030,Sediment,17
EC1,K018,Sediment,0
EC1,K037,Sediment,14
EC1,K041,Sediment,1
EC1,K044,Sediment,13
EC1,K019,Sediment,1
EC1,K050,Sediment,0
EC1,K060,Sediment,10
EC1,K040,Sediment,3
EC1,K043,Sediment,0
EC1,K038,Sediment,15
EC1,K011,Sediment,12
EC1,K010,Sediment,15
EC1,K008,Sediment,8
EC1,K046,Sediment,14
EC1,K024,Sediment,10
EC1,K009,Sediment,13
