kit_id,sal_psu,ph,orp_mv,alk_mgl_caco3,f_sal_psu,f_ph,f_orp,f_alk_mgl_caco3
K004,0.25,7.69,360,102,FALSE,FALSE,FALSE,FALSE
K008,0.2,7.74,315,111,FALSE,FALSE,FALSE,FALSE
K009,0.26,7.58,305,166,FALSE,FALSE,FALSE,FALSE
K010,0.3,7.57,291,170,FALSE,FALSE,FALSE,FALSE
K011,0.2,7.83,262,108,FALSE,FALSE,FALSE,FALSE
K012,0.27,6.81,350,164,FALSE,FALSE,FALSE,FALSE
K013,0.31,7.69,296,199,FALSE,FALSE,FALSE,FALSE
K015,16.05,7.29,334,67,FALSE,FALSE,FALSE,FALSE
K016,20.51,7.12,311,74,FALSE,FALSE,FALSE,FALSE
K017,2.7,7.07,328,33,FALSE,FALSE,FALSE,FALSE
K018,20.46,7.77,314,73,FALSE,FALSE,FALSE,FALSE
K019,0.18,7.9,322,105,FALSE,FALSE,FALSE,FALSE
K020,0.07,7.84,345,43,FALSE,FALSE,FALSE,FALSE
K021,0.27,7.52,298,167,FALSE,FALSE,FALSE,FALSE
K022,0.22,7.28,322,126,FALSE,FALSE,FALSE,FALSE
K023,0.2,7.03,311,51,FALSE,FALSE,FALSE,FALSE
K024,12.93,6.87,325,63,FALSE,FALSE,FALSE,FALSE
K025,2.65,6.44,334,40,FALSE,FALSE,FALSE,FALSE
K026,31.86,7.38,347,131,FALSE,FALSE,FALSE,FALSE
K027,17.19,6.79,317,88,FALSE,FALSE,FALSE,FALSE
K029,5.01,6.62,301,106,FALSE,FALSE,FALSE,FALSE
K030,13.31,6.7,354,76,FALSE,FALSE,FALSE,FALSE
K033,0.15,7.55,322,89,FALSE,FALSE,FALSE,FALSE
K034,1.75,6.92,180,57,FALSE,FALSE,FALSE,FALSE
K035,10.96,7.07,308,66,FALSE,FALSE,FALSE,FALSE
K036,6.6,7.97,300,86,FALSE,FALSE,FALSE,FALSE
K037,0.41,6.67,348,28,FALSE,FALSE,FALSE,FALSE
K038,0.1,7.07,350,48,FALSE,FALSE,FALSE,FALSE
K039,0.23,7.18,333,144,FALSE,FALSE,FALSE,FALSE
K040,32.62,7.67,283,130,FALSE,FALSE,FALSE,FALSE
K041,33.34,7.29,265,124,FALSE,FALSE,FALSE,FALSE
K042,0.28,6.75,339,113,FALSE,FALSE,FALSE,FALSE
K043,20.62,7.52,289,107,FALSE,FALSE,FALSE,FALSE
K044,5.11,6.88,335,70,FALSE,FALSE,FALSE,FALSE
K045,0.09,6.42,315,17,FALSE,FALSE,FALSE,FALSE
K047,0.31,7.23,329,172,FALSE,FALSE,FALSE,FALSE
K048,0.27,6.98,321,93,FALSE,FALSE,FALSE,FALSE
K049,0.14,7.66,279,127,FALSE,FALSE,FALSE,FALSE
K050,0.06,6.08,357,18,FALSE,FALSE,FALSE,FALSE
K051,12.19,6.6,290,51,FALSE,FALSE,FALSE,FALSE
K052,15.06,6.92,263,92,FALSE,FALSE,FALSE,FALSE
K053,0.22,7.02,330,62,FALSE,FALSE,FALSE,FALSE
K054,10.3,7,150,192,FALSE,FALSE,FALSE,FALSE
K055,0.16,7.17,292,46,FALSE,FALSE,FALSE,FALSE
K056,18.38,6.89,-164,175,FALSE,FALSE,TRUE,FALSE
K058,15.76,6.9,285,95,FALSE,FALSE,FALSE,FALSE
K059,12.52,7.14,327,85,FALSE,FALSE,FALSE,FALSE
K060,7.38,7.17,277,77,FALSE,FALSE,FALSE,FALSE
K061,12.04,6.98,87,197,FALSE,FALSE,FALSE,FALSE
K062,7.54,7.22,244,132,FALSE,FALSE,FALSE,FALSE
