kit_id,site,bulk_density_g_cm3,bulk_density_flag
K027,Wetland,0.08272017837235231,TRUE
K011,Wetland,NA,NA
K017,Wetland,0.18249158249158248,TRUE
K053,Wetland,0.2402922755741127,TRUE
K039,Wetland,0.09527638190954774,TRUE
K015,Wetland,0.22177246038479378,TRUE
K033,Wetland,0.37151515151515146,TRUE
K047,Wetland,0.05269993164730006,TRUE
K019,Wetland,NA,NA
K008,Transition,NA,NA
K009,Transition,NA,NA
K056,Transition,NA,NA
K061,Transition,1.1418484844684496,TRUE
K054,Transition,0.10288184438040346,TRUE
K022,Wetland,0.38256227758007116,TRUE
K059,Transition,0.1567247149085325,TRUE
K052,Transition,1.6501374594732963,TRUE
K051,Transition,NA,NA
K034,Transition,0.2170542635658915,TRUE
K013,Transition,0.5949233136726912,TRUE
K022,Transition,0.2262693156732892,TRUE
K010,Transition,0.7549707602339182,TRUE
K025,Transition,0.4058608058608059,TRUE
K048,Transition,0.3526849662641118,TRUE
K004,Transition,0.39238095238095233,TRUE
K026,Transition,0.38450160339441525,TRUE
K016,Transition,1.235608636576629,TRUE
K045,Transition,0.17327808361318614,TRUE
K018,Transition,0.9931889427224634,TRUE
K049,Transition,1.3766666666666665,TRUE
K062,Transition,0.37725752508361204,TRUE
K041,Transition,NA,NA
K035,Transition,0.2719101123595506,TRUE
K036,Transition,0.1912568306010929,TRUE
K044,Transition,NA,NA
K021,Transition,0.28189189189189184,TRUE
K050,Transition,0.9210843373493975,TRUE
K011,Transition,0.7062599892254203,TRUE
K053,Transition,0.8266272189349112,TRUE
K024,Transition,NA,NA
K039,Transition,0.12982689747003995,TRUE
K027,Transition,1.4912698412698415,TRUE
K047,Transition,0.8623456790123456,TRUE
K019,Transition,1.2977611940298508,TRUE
K015,Transition,0.939766081871345,TRUE
K017,Transition,0.7048648648648649,TRUE
K058,Transition,NA,NA
K007,Wetland,NA,NA
K007,Transition,NA,NA
K001,Wetland,NA,NA
K001,Transition,NA,NA
K033,Upland,0.5919367876447071,TRUE
K027,Upland,1.4748702346642868,TRUE
K015,Upland,0.9056465805097804,TRUE
K047,Upland,0.3458333333333334,TRUE
K053,Upland,0.9923728813559322,TRUE
K019,Upland,NA,NA
K039,Upland,0.6734177215189873,TRUE
K004,Upland,0.8655286301128757,TRUE
K029,Upland,NA,NA
K049,Upland,1.7350000000000003,TRUE
K020,Upland,0.6879432624113477,TRUE
K016,Upland,0.14520547945205484,TRUE
K023,Upland,0.4277027027027026,TRUE
K051,Upland,NA,NA
K025,Upland,0.701639344262295,TRUE
K036,Upland,0.20999438930218167,TRUE
K045,Upland,0.34694656488549613,TRUE
K017,Upland,0.7537037037037037,TRUE
K018,Upland,NA,NA
K011,Upland,NA,NA
K058,Upland,NA,NA
K042,Upland,0.6325303837573623,TRUE
K048,Upland,0.6456555875106059,TRUE
K035,Upland,0.8712842166967835,TRUE
K054,Upland,0.5898000347302489,TRUE
K021,Upland,0.689763779527559,TRUE
K044,Upland,NA,NA
K034,Upland,0.9067567567567566,TRUE
K009,Upland,NA,NA
K056,Upland,NA,NA
K024,Upland,NA,NA
K062,Upland,0.7722222222222223,TRUE
K050,Upland,NA,NA
K030,Upland,NA,NA
K013,Upland,1.0342805015982677,TRUE
K061,Upland,NA,NA
K041,Upland,NA,NA
K038,Upland,NA,NA
K046,Upland,NA,NA
K010,Upland,NA,NA
K042,Wetland,0.21488833746898264,TRUE
K046,Upland,NA,NA
K024,Wetland,NA,NA
K044,Wetland,NA,NA
K036,Wetland,0.19466119096509238,TRUE
K062,Wetland,0.24366197183098595,TRUE
K030,Wetland,NA,NA
K041,Wetland,NA,NA
K026,Wetland,0.3480121686038302,TRUE
K025,Wetland,0.4655015123101817,TRUE
K045,Wetland,0.10823699421965319,TRUE
K004,Wetland,0.2872464869717799,TRUE
K035,Wetland,0.1851380042462845,TRUE
K018,Wetland,NA,NA
K026,Upland,1.5527272727272727,TRUE
K026,Wetland,0.5838742003914112,TRUE
K049,Wetland,0.9488505747126434,TRUE
K016,Wetland,0.2741258741258741,TRUE
K058,Wetland,NA,NA
K022,Upland,0.7240506329113923,TRUE
K042,Transition,0.1861940298507463,TRUE
K048,Wetland,0.43233170648046887,TRUE
K029,Wetland,NA,NA
K059,Upland,0.15437870917245358,TRUE
K029,Transition,NA,NA
