"campaign","kit_id","transect_location","date_run","fluoride_ppm","fluoride_flag","chloride_ppm","chloride_flag","sulfate_ppm","sulfate_flag","bromide_ppm","bromide_flag","phosphate_ppm","phosphate_flag","nitrite_ppm","nitrite_flag","nitrate_ppm","nitrate_flag","sodium_ppm","sodium_flag","ammonium_ppm","ammonium_flag","potassium_ppm","potassium_flag","magnesium_ppm","magnesium_flag","calcium_ppm","calcium_flag"
"EC1","K020","Water",2022-02-09,"0.163",,"8.331",,"4.069",,"0.705",,,,"0.063",,"1.15",,"4.13",,,,"0.692",,"3.464",,"15.911",
"EC1","K033","Water",2022-02-09,"-0.022",,"23.627",,"4.291",,"0.232",,,,"0.075",,"0.433",,"9.28",,,,"1.264",,"7.768",,"35.978",
"EC1","K050","Water",2022-02-09,,,"20.029",,"6.372",,"1.001",,,,"0.075",,"1.608",,"11.346",,,,"2.034",,"2.111",,"7.172",
"EC1","K045","Water",2022-02-09,,,"31.836",,"12.004",,"1.488",,,,"0.034",,"2.332",,"13.844",,,,"2.793",,"2.115",,"9.219",
"EC1","K038","Water",2022-02-09,,,"16.925",,"18.177",,"0.134",,,,"0.069",,"0.255",,"13.803",,,,"2.875",,"3.338",,"19.721",
"EC1","K049","Water",2022-02-09,,,"1.97",,,,"0.001","below detect",,,"0.018",,"0.006","below detect","1.314",,,,"0.875",,"11.912",,"32.803",
"EC1","K055","Water",2022-02-09,,,"23.986",,"8.019",,"1.046",,,,,,"1.657",,"10.672",,,,"1.622",,"2.709",,"11.018",
"EC1","K019","Water",2022-02-09,,,"18.794",,"27.005",,"-0.002","below detect",,,"0.074",,"0.044","below detect","11.671",,,,"1.903",,"20.539",,"28.563",
"EC1","K008","Water",2022-02-09,,,"20.666",,"19.204",,"0.086","below detect",,,"0.077",,"0.2",,"9.77",,,,"1.934",,"8.497",,"29.884",
"EC1","K011","Water",2022-02-09,,,"23.501",,"21.265",,"0.255",,,,,,"0.521",,"11.112",,,,"2.427",,"8.98",,"31.969",
"EC1","K023","Water",2022-02-09,,,"52.701",,"9.188",,"0.122",,,,"0.077",,"0.232",,"23.538",,,,"3.42",,"3.805",,"16.423",
"EC1","K053","Water",2022-02-09,,,"92.559",,"15.549",,"0.126",,,,"0.086",,"0.31",,"39.413",,,,"7.971",,"7.965",,"28.611",
"EC1","K022","Water",2022-02-09,,,"26.854",,"27.671",,,,"0.831",,"0.072",,"0.196",,"12.379",,,,"4.25",,"19.51",,"47.776",
"EC1","K039","Water",2022-02-09,,,"12.46",,"3.601",,"0.208",,,,"0.062",,"0.372",,"4.717",,,,"0.857",,"8.779",,"24.967",
