"Name","date_run","Ion","Amount_bl_dil_corrected"
"EC1_K020",2022-02-09,"Fluoride",0.16268319093622
"EC1_K033",2022-02-09,"Fluoride",-0.0221274395149803
"EC1_K050",2022-02-09,"Chloride",20.0289309833879
"EC1_K020",2022-02-09,"Chloride",8.33149821132563
"EC1_K045",2022-02-09,"Chloride",31.8359580193899
"EC1_K038",2022-02-09,"Chloride",16.9248741604878
"EC1_K049",2022-02-09,"Chloride",1.96967819217579
"EC1_K033",2022-02-09,"Chloride",23.6273593183877
"EC1_K055",2022-02-09,"Chloride",23.9856337091822
"EC1_K019",2022-02-09,"Chloride",18.7937330899492
"EC1_K008",2022-02-09,"Chloride",20.6657122104936
"EC1_K011",2022-02-09,"Chloride",23.5014902062991
"EC1_K023",2022-02-09,"Chloride",52.7007489816937
"EC1_K053",2022-02-09,"Chloride",92.5590857323778
"EC1_K022",2022-02-09,"Chloride",26.8544032379674
"EC1_K039",2022-02-09,"Chloride",12.4596083568385
"EC1_K004",2022-02-09,"Chloride",41.1164596909279
"EC1_K009",2022-02-09,"Chloride",35.1134168506859
"EC1_K012",2022-02-09,"Chloride",43.3785630586348
"EC1_K050",2022-02-09,"Sulfate",6.37245623497683
"EC1_K020",2022-02-09,"Sulfate",4.06850374123797
"EC1_K045",2022-02-09,"Sulfate",12.0039579670813
"EC1_K038",2022-02-09,"Sulfate",18.1773564864151
"EC1_K033",2022-02-09,"Sulfate",4.29097489306067
"EC1_K055",2022-02-09,"Sulfate",8.01856862099397
"EC1_K019",2022-02-09,"Sulfate",27.0047518735774
"EC1_K008",2022-02-09,"Sulfate",19.2041675939719
"EC1_K011",2022-02-09,"Sulfate",21.2651429175254
"EC1_K023",2022-02-09,"Sulfate",9.18836365981252
"EC1_K053",2022-02-09,"Sulfate",15.5491633566998
"EC1_K022",2022-02-09,"Sulfate",27.6710060858804
"EC1_K039",2022-02-09,"Sulfate",3.60126994093097
"EC1_K004",2022-02-09,"Sulfate",32.7900627274675
"EC1_K009",2022-02-09,"Sulfate",16.9248913282526
"EC1_K012",2022-02-09,"Sulfate",1.33615872668852
"EC1_K050",2022-02-09,"Bromide",1.0006871395248
"EC1_K020",2022-02-09,"Bromide",0.705269558360931
"EC1_K045",2022-02-09,"Bromide",1.48774895777049
"EC1_K038",2022-02-09,"Bromide",0.13361088732741
"EC1_K049",2022-02-09,"Bromide",0.00085297639241444
"EC1_K033",2022-02-09,"Bromide",0.232423454314122
"EC1_K055",2022-02-09,"Bromide",1.04573368437937
"EC1_K019",2022-02-09,"Bromide",-0.0023005277109432
"EC1_K008",2022-02-09,"Bromide",0.0863174795337041
"EC1_K011",2022-02-09,"Bromide",0.25478265788178
"EC1_K023",2022-02-09,"Bromide",0.12227469341649
"EC1_K053",2022-02-09,"Bromide",0.126080909282077
"EC1_K039",2022-02-09,"Bromide",0.208454028088411
"EC1_K004",2022-02-09,"Bromide",4.68058766183331
"EC1_K009",2022-02-09,"Bromide",0.0049505053226338
"EC1_K012",2022-02-09,"Bromide",0.0399596415702676
"EC1_K022",2022-02-09,"Phosphate",0.830559911592805
"EC1_K021",2022-02-11,"Sodium",16.2680018761399
"EC1_K048",2022-02-11,"Sodium",25.3658906028201
"EC1_K042",2022-02-11,"Sodium",35.1473615809585
"EC1_K010",2022-02-11,"Sodium",22.0633441715725
"EC1_K047",2022-02-11,"Sodium",27.7863769945864
"EC1_K013",2022-02-11,"Sodium",9.89348152882413
"EC1_K034",2022-02-11,"Sodium",444.122178626239
"EC1_K025",2022-02-11,"Sodium",222.92432834233
"EC1_K017",2022-02-11,"Sodium",804.416370289815
"EC1_K029",2022-02-11,"Sodium",1435.39789692951
"EC1_K044",2022-02-11,"Sodium",701.733600128141
"EC1_K036",2022-02-11,"Sodium",1814.49519563135
"EC1_K054",2022-02-11,"Sodium",2770.69443636199
"EC1_K035",2022-02-11,"Sodium",2600.06293991281
"EC1_K051",2022-02-11,"Sodium",3409.95975217512
"EC1_K059",2022-02-11,"Sodium",3568.90512386674
"EC1_K042",2022-02-11,"Ammonium",0.53079589948674
