date,campaign,kit_id,transect_location,npoc_mgl,tdn_mgL,npoc_flag,tdn_flag
20211012,EC1,K004,water,7.17,2.421,NA,NA
20211026,EC1,K008,water,2.97,0.369,npoc blank below LOD,NA
20211026,EC1,K009,water,7.03,0.605,npoc blank below LOD,NA
20211026,EC1,K010,water,7.2,1.175,npoc blank below LOD,NA
20211026,EC1,K011,water,3.28,0.483,npoc blank below LOD,NA
20211015,EC1,K012,water,14.75,2.236,NA,NA
20211015,EC1,K013,water,7.47,2.528,NA,NA
20211202,EC1,K014,water,4.26,1.508,NA,NA
20211012,EC1,K015,water,4.36,0.437,NA,NA
20211012,EC1,K016,water,4.92,0.464,NA,NA
20211012,EC1,K017,water,4.94,0.316,NA,NA
20211012,EC1,K018,water,3.03,0.314,NA,NA
20211012,EC1,K019,water,7.48,0.366,NA,NA
20211012,EC1,K020,water,1.67,0.355,NA,NA
20211018,EC1,K021,water,30.06,1.876,npoc outside range,NA
20211018,EC1,K022,water,27.34,1.657,NA,NA
20211012,EC1,K023,water,3.44,0.353,NA,NA
20211015,EC1,K024,water,7.37,0.513,NA,NA
20211012,EC1,K025,water,5.64,0.622,NA,NA
20211012,EC1,K026,water,6.19,1.319,NA,NA
20211026,EC1,K029,water,5.07,0.714,npoc blank below LOD,NA
20211015,EC1,K030,water,6.74,0.797,NA,NA
20211012,EC1,K033,water,4.11,0.317,NA,NA
20211026,EC1,K034,water,5.89,0.771,npoc blank below LOD,NA
20211012,EC1,K035,water,4.07,0.423,NA,NA
20211026,EC1,K036,water,4.04,0.506,npoc blank below LOD,NA
20211018,EC1,K037,water,5.63,0.298,NA,NA
20211015,EC1,K038,water,4.24,0.286,NA,NA
20211012,EC1,K039,water,5.87,0.604,NA,NA
20211119,EC1,K040,water,2.92,0.292,NA,NA
20211026,EC1,K041,water,6.5,0.477,npoc blank below LOD,NA
20211026,EC1,K042,water,3.4,1.191,npoc blank below LOD,NA
20211119,EC1,K043,water,3.83,0.713,NA,NA
20211026,EC1,K044,water,6.85,0.464,npoc blank below LOD,NA
20211119,EC1,K045,water,8.39,0.814,NA,NA
20211015,EC1,K046,water,7.7,0.875,NA,NA
20211012,EC1,K047,water,4.7,0.458,NA,NA
20211026,EC1,K048,water,3.36,1.234,npoc blank below LOD,NA
20211026,EC1,K049,water,7.54,0.538,npoc blank below LOD,NA
20211015,EC1,K050,water,5,0.607,NA,NA
20211026,EC1,K051,water,8.37,0.637,npoc blank below LOD,NA
20211026,EC1,K052,water,7.03,0.54,npoc blank below LOD,NA
20211012,EC1,K053,water,4.33,0.377,NA,NA
20211026,EC1,K054,water,10.01,1.576,npoc blank below LOD,NA
20211026,EC1,K055,water,3.42,1.014,npoc blank below LOD,NA
20211026,EC1,K056,water,8.84,0.896,npoc blank below LOD,NA
20211202,EC1,K057,water,6.28,0.488,NA,NA
20211026,EC1,K058,water,6.43,0.477,npoc blank below LOD,NA
20211026,EC1,K059,water,6.14,0.425,npoc blank below LOD,NA
20211119,EC1,K060,water,3.48,1.06,NA,NA
20211026,EC1,K061,water,7.26,1.378,npoc blank below LOD,NA
20211026,EC1,K062,water,6.08,0.929,npoc blank below LOD,NA
