campaign,kit_id,transect_location,bulk_density_g_cm3,bulk_density_flag
EC1,K027,Wetland,0.08,NA
EC1,K011,Wetland,NA,NA
EC1,K017,Wetland,0.18,NA
EC1,K053,Wetland,0.24,NA
EC1,K039,Wetland,0.1,NA
EC1,K015,Wetland,0.22,NA
EC1,K033,Wetland,0.37,NA
EC1,K047,Wetland,0.05,NA
EC1,K019,Wetland,1.56,NA
EC1,K008,Transition,NA,NA
EC1,K009,Transition,NA,NA
EC1,K056,Transition,NA,NA
EC1,K061,Transition,1.14,NA
EC1,K054,Transition,0.1,NA
EC1,K022,Wetland,0.38,NA
EC1,K059,Transition,0.16,NA
EC1,K052,Transition,1.65,NA
EC1,K051,Transition,NA,NA
EC1,K034,Transition,0.22,NA
EC1,K013,Transition,0.59,NA
EC1,K022,Transition,0.23,NA
EC1,K010,Transition,0.75,NA
EC1,K025,Transition,0.41,NA
EC1,K048,Transition,0.35,NA
EC1,K004,Transition,0.39,NA
EC1,K026,Transition,0.38,NA
EC1,K016,Transition,1.24,NA
EC1,K045,Transition,0.17,NA
EC1,K018,Transition,0.99,NA
EC1,K018,Transition,1.01,NA
EC1,K049,Transition,1.38,NA
EC1,K062,Transition,0.38,NA
EC1,K041,Transition,0.1,NA
EC1,K035,Transition,0.27,NA
EC1,K036,Transition,0.19,NA
EC1,K044,Transition,0.16,NA
EC1,K021,Transition,0.28,NA
EC1,K050,Transition,0.92,NA
EC1,K011,Transition,0.71,NA
EC1,K053,Transition,0.83,NA
EC1,K024,Transition,NA,NA
EC1,K039,Transition,0.13,NA
EC1,K027,Transition,1.49,NA
EC1,K047,Transition,0.86,NA
EC1,K019,Transition,1.3,NA
EC1,K019,Transition,1.09,NA
EC1,K015,Transition,0.94,NA
EC1,K017,Transition,0.7,NA
EC1,K058,Transition,NA,NA
EC1,K007,Wetland,NA,NA
EC1,K007,Transition,NA,NA
EC1,K001,Wetland,NA,NA
EC1,K001,Transition,NA,NA
EC1,K033,Upland,0.59,NA
EC1,K027,Upland,1.47,NA
EC1,K015,Upland,0.91,NA
EC1,K047,Upland,0.35,NA
EC1,K053,Upland,0.99,NA
EC1,K019,Upland,NA,NA
EC1,K039,Upland,0.67,NA
EC1,K004,Upland,0.87,NA
EC1,K029,Upland,NA,NA
EC1,K049,Upland,1.74,NA
EC1,K020,Upland,0.69,NA
EC1,K016,Upland,0.15,NA
EC1,K023,Upland,0.43,NA
EC1,K051,Upland,NA,NA
EC1,K025,Upland,0.7,NA
EC1,K036,Upland,0.21,NA
EC1,K045,Upland,0.35,NA
EC1,K017,Upland,0.75,NA
EC1,K018,Upland,0.42,NA
EC1,K011,Upland,NA,NA
EC1,K058,Upland,NA,NA
EC1,K042,Upland,0.63,NA
EC1,K048,Upland,0.65,NA
EC1,K035,Upland,0.87,NA
EC1,K054,Upland,0.59,NA
EC1,K021,Upland,0.69,NA
EC1,K044,Upland,0.55,NA
EC1,K034,Upland,0.91,NA
EC1,K009,Upland,NA,NA
EC1,K056,Upland,NA,NA
EC1,K024,Upland,NA,NA
EC1,K062,Upland,0.77,NA
EC1,K050,Upland,NA,NA
EC1,K030,Upland,0.18,NA
EC1,K013,Upland,1.03,NA
EC1,K061,Upland,NA,NA
EC1,K041,Upland,0.11,NA
EC1,K038,Upland,NA,NA
EC1,K046,Upland,NA,NA
EC1,K010,Upland,NA,NA
EC1,K042,Wetland,0.21,NA
EC1,K046,Upland,NA,NA
EC1,K024,Wetland,NA,NA
EC1,K044,Wetland,0.33,NA
EC1,K036,Wetland,0.19,NA
EC1,K062,Wetland,0.24,NA
EC1,K030,Wetland,0.48,NA
EC1,K041,Wetland,1.48,NA
EC1,K026,Wetland,0.35,NA
EC1,K025,Wetland,0.47,NA
EC1,K045,Wetland,0.11,NA
EC1,K004,Wetland,0.29,NA
EC1,K035,Wetland,0.19,NA
EC1,K018,Wetland,1.49,NA
EC1,K026,Upland,1.55,NA
EC1,K026,Wetland,0.58,NA
EC1,K049,Wetland,0.95,NA
EC1,K016,Wetland,0.27,NA
EC1,K058,Wetland,NA,NA
EC1,K022,Upland,0.72,NA
EC1,K042,Transition,0.19,NA
EC1,K048,Wetland,0.43,NA
EC1,K029,Wetland,NA,NA
EC1,K059,Upland,0.15,NA
EC1,K029,Transition,NA,NA
EC1,K037,Wetland,0.29,NA
EC1,K059,Wetland,0.1,NA
EC1,K034,Wetland,0.33,NA
EC1,K009,Wetland,NA,NA
EC1,K052,Wetland,NA,NA
EC1,K050,Wetland,0.21,NA
EC1,K008,Wetland,NA,NA
EC1,K054,Wetland,0.21,NA
EC1,K010,Wetland,NA,NA
EC1,K021,Wetland,0.23,NA
EC1,K012,Wetland,0.69,NA
EC1,K051,Wetland,NA,NA
EC1,K061,Wetland,NA,NA
EC1,K056,Wetland,NA,NA
EC1,K038,Wetland,NA,NA
EC1,K013,Wetland,0.23,NA
EC1,NA,NA,NA,NA
EC1,K052,Upland,1.45,NA
EC1,K055,Upland,NA,NA
EC1,K008,Upland,NA,NA
EC1,K007,Upland,NA,NA
EC1,K001,Upland,NA,NA
EC1,K008,NA,NA,NA
EC1,K025,Upland,NA,NA
EC1,K018,Upland,NA,NA
EC1,K017,Upland,NA,NA
EC1,K004,Upland,NA,NA
EC1,K009,Upland,NA,NA
EC1,K008,Upland,NA,NA
EC1,K011,Upland,NA,NA
