Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
800	0.159035859197288	0.00298586024903253	0.225980890820658	0.00114567392463659	1.34088253974915	0.156049998948255	0.301477616656587	0.517617197186522	0.00175082419309322	99.5976693583918
797	0.157159420072095		0.223820981390201		1.3260293006897	0.154173559823063	0.295273982239426	0.522137299919806	0.00173226980217621	99.6019245668847
794	0.173153700174811		0.247580297472632		1.31175875663757	0.170167839925779	0.323262775377767	0.526407161254244	0.00178482732770485	99.5898716530919
791	0.180424490551032		0.258140164755266		1.29830348491669	0.177438630301999	0.333656843049796	0.531799763733658	0.00181583648830104	99.5827610675225
788	0.16640405077246		0.238371958962674		1.28535497188568	0.163418190523428	0.304919984935611	0.535937946336762	0.00177776858588247	99.5914903356549
785	0.16619969324459		0.238689748878396		1.27193987369537	0.163213832995558	0.302141780693769	0.540189551477425	0.00181112650624563	99.5838410618134
782	0.173141911310723		0.249191923595343		1.25860202312469	0.17015605106169	0.312191511664044	0.545037403979128	0.00186487043288703	99.5715183275195
779	0.184433441951029		0.266086099782109		1.24614322185516	0.181447581701996	0.33015371587771	0.549585156779531	0.00183923207921872	99.577396654929
776	0.204648887884656		0.296056358604004		1.23451888561249	0.201663027635623	0.364072809805589	0.553908510067833	0.00179122100461373	99.5884055032737
773	0.235390976766333		0.341554032448694		1.22383856773376	0.232405116517301	0.416604877940684	0.557855005601711	0.00186755241656779	99.5709034259406
770	0.317897152736704		0.463573597695991		1.21381187438965	0.314911292487671	0.561300504923021	0.561038676654779	0.00186776223009347	99.5708553219049
767	0.455820037851485		0.66516376015952		1.20520555973053	0.452834177602452	0.800278289291907	0.565845885939407	0.00191124948470893	99.5608854822362
764	0.440978082954735		0.641555391418405		1.19851565361023	0.437992222705703	0.767541071140386	0.570643369031639	0.00180723098994706	99.5847343087505
761	0.356551228738866		0.519349647582984		1.19181299209595	0.353565368489833	0.617602228361765	0.572480720200268	0.00184816861916418	99.5753476576139
758	0.359072873626251		0.523782568402674		1.18398952484131	0.356087013377218	0.618796608357588	0.575450816258262	0.00187860017256019	99.5683705338607
755	0.394287360179877		0.575782949054265		1.17633533477783	0.391301499930844	0.675966131415433	0.578877375278377	0.00190443569991408	99.5624475370117
752	0.434813834016964		0.635255840967502		1.16980671882629	0.431827973767932	0.741786333882808	0.582146035917877	0.00196852288034375	99.5477565703006
749	0.47536109551266		0.694720809601962		1.16390073299408	0.472375235263628	0.807252608801308	0.585164086326162	0.00199567058930528	99.5415340434871
746	0.543724039880609		0.795014163693397		1.15848278999329	0.540738179631576	0.91968298291507	0.58796149290229	0.00200993924405518	99.5382636808421
743	0.631742485573826		0.923202120029328		1.15345752239227	0.628756625324794	1.06355294382974	0.59118507355234	0.00205698999032498	99.5274804540231
740	0.714842968945386		1.04396285776701		1.14841175079346	0.711857108696354	1.19758350785392	0.594411249009273	0.00209779118853408	99.5181304625357
737	0.86697387409922		1.26576400800378		1.14263534545898	0.863988013850187	1.44499760703429	0.597916570687917	0.00211586514869353	99.513988919475
734	1.00975525780604		1.47163475974464		1.13635516166687	1.00676939755701	1.67099786284636	0.602495921713561	0.00207052104698323	99.5243795834064
731	1.04554491769721		1.52220832887849		1.12990951538086	1.04255905744818	1.71866316732284	0.6066104617068	0.00193530404119466	99.5553711901583
728	1.03081740158174		1.5022615320832		1.12338900566101	1.02783154133271	1.68633705127872	0.609505401398446	0.00174387168660128	99.5992638041293
725	1.02710385972646		1.50023252818505		1.11702907085419	1.02411799947743	1.67452359594424	0.611587679001886	0.00151250808649978	99.6523378917876
722	1.03309596846717		1.51277874517594		1.11090362071991	1.03011010821813	1.67927865205303	0.613424166953327	0.00138979395811623	99.6804996072461
719	0.999981314363647		1.46721807030916		1.10438621044159	0.996995454114614	1.61911013807612	0.615767532219441	0.00143272598272916	99.6706462143887
716	0.882933833752244		1.29759143188783		1.09723365306854	0.879947973503211	1.42250391501518	0.618590897511747	0.00155645051941514	99.6422554596405
713	0.712059006859342		1.04863020149836		1.08915162086487	0.70907314661031	1.14086947103779	0.621519958777846	0.00166756932864502	99.6167642022162
710	0.543518216822349		0.80423206831965		1.07961905002594	0.540532356573316	0.867027370205502	0.623431710633541	0.00176038256562116	99.5954773407858
