"campaign","kit_id","transect_location","date_run","chloride_ppm","chloride_flag","fluoride_ppm","fluoride_flag","sulfate_ppm","sulfate_flag","bromide_ppm","bromide_flag","phosphate_ppm","phosphate_flag","nitrite_ppm","nitrite_flag","nitrate_ppm","nitrate_flag","potassium_ppm","potassium_flag","magnesium_ppm","magnesium_flag","calcium_ppm","calcium_flag","sodium_ppm","sodium_flag","ammonium_ppm","ammonium_flag"
"EC1","K001","Water",2022-10-03,NA,NA,NA,NA,10.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC1","K001","Water",2022-09-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC1","K001","Water",2022-02-14,8.917,NA,NA,NA,NA,NA,3.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.972,NA,77.136,NA,9.051,NA,NA,NA
"EC1","K004","Water",2022-02-09,41.116,"above calibration",NA,NA,32.79,"above calibration",4.681,NA,NA,NA,0.045,NA,6.888,NA,3.838,NA,11.808,NA,36.722,NA,18.375,NA,NA,NA
"EC1","K008","Water",2022-02-09,20.666,"above calibration",NA,NA,19.204,NA,0.086,NA,NA,NA,0.077,NA,0.2,NA,1.934,NA,8.497,NA,29.884,NA,9.77,NA,NA,NA
"EC1","K009","Water",2022-02-09,35.113,"above calibration",NA,NA,16.925,NA,0.005,NA,NA,NA,0.084,NA,0.049,NA,5.931,NA,11.349,NA,47.075,NA,17.543,NA,NA,NA
"EC1","K010","Water",2022-02-11,50.868,"above calibration",NA,NA,24.554,"above calibration",0.532,NA,NA,NA,0.136,NA,1.223,NA,7.13,NA,11.206,NA,49.81,NA,22.063,NA,NA,NA
"EC1","K011","Water",2022-02-09,23.501,"above calibration",NA,NA,21.265,"above calibration",0.255,NA,NA,NA,NA,NA,0.521,NA,2.427,NA,8.98,NA,31.969,NA,11.112,NA,NA,NA
"EC1","K012","Water",2022-02-09,43.379,"above calibration",NA,NA,1.336,NA,0.04,NA,NA,NA,0.102,NA,0.107,NA,6.635,NA,15.06,NA,43.86,NA,18.913,NA,1.207,NA
"EC1","K013","Water",2022-02-11,33.507,"above calibration",NA,NA,21.926,"above calibration",5.944,NA,NA,NA,0.366,NA,8.978,NA,3.518,NA,19.72,NA,57.236,NA,9.893,NA,NA,NA
"EC1","K014","Water",2022-10-03,NA,NA,NA,NA,19.936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC1","K014","Water",2022-09-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012,NA,4.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC1","K014","Water",2022-02-14,41.705,NA,NA,NA,NA,NA,0.812,NA,NA,NA,NA,NA,NA,NA,0.615,NA,5.19,NA,18.994,NA,11.901,NA,NA,NA
"EC1","K015","Water",2022-02-16,12583,"above calibration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4988.092,NA,NA,NA
"EC1","K015","Water",2022-10-03,NA,NA,NA,NA,1194.329,"above calibration",5.919,NA,NA,NA,NA,NA,NA,NA,116.74,NA,373.322,NA,84.096,NA,NA,NA,NA,NA
"EC1","K016","Water",2022-09-30,NA,NA,NA,NA,1180.301,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.623,NA,522.409,NA,119.822,NA,NA,NA,NA,NA
"EC1","K016","Water",2022-09-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC1","K016","Water",2022-02-14,15575.793,"above calibration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6402.352,NA,NA,NA
"EC1","K017","Water",2022-10-03,NA,NA,NA,NA,198.356,NA,3.171,NA,NA,NA,NA,NA,NA,NA,27.972,NA,87.164,NA,18.98,NA,NA,NA,NA,NA
"EC1","K017","Water",2022-09-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023,NA,0.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC1","K017","Water",2022-02-11,1979.251,"above calibration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,804.416,NA,NA,NA
"EC1","K018","Water",2022-09-30,NA,NA,NA,NA,1670.162,NA,NA,NA,NA,NA,NA,NA,NA,NA,233.84,NA,768.373,NA,180.793,NA,NA,NA,NA,NA
"EC1","K018","Water",2022-09-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC1","K018","Water",2022-02-14,16085.256,"above calibration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6626.525,NA,NA,NA
"EC1","K019","Water",2022-02-09,18.794,NA,NA,NA,27.005,"above calibration",NA,NA,NA,NA,0.074,NA,0.044,NA,1.903,NA,20.539,NA,28.563,NA,11.671,NA,NA,NA
"EC1","K020","Water",2022-02-09,8.331,NA,0.163,NA,4.069,NA,0.705,NA,NA,NA,0.063,NA,1.15,NA,0.692,NA,3.464,NA,15.911,NA,4.13,NA,NA,NA
"EC1","K021","Water",2022-02-11,39.708,"above calibration",0.387,NA,3.174,NA,NA,NA,NA,NA,0.075,NA,0.055,NA,3.917,NA,20.171,NA,40.547,NA,16.268,NA,NA,NA
"EC1","K022","Water",2022-02-09,26.854,"above calibration",NA,NA,27.671,"above calibration",NA,NA,0.831,NA,0.072,NA,0.196,NA,4.25,NA,19.51,NA,47.776,NA,12.379,NA,NA,NA
"EC1","K023","Water",2022-02-09,52.701,"above calibration",NA,NA,9.188,NA,0.122,NA,NA,NA,0.077,NA,0.232,NA,3.42,NA,3.805,NA,16.423,NA,23.538,NA,NA,NA
"EC1","K024","Water",2022-10-03,NA,NA,NA,NA,991.399,NA,6.418,NA,NA,NA,NA,NA,NA,NA,145.776,NA,477.561,NA,110.302,NA,NA,NA,NA,NA
"EC1","K024","Water",2022-09-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC1","K024","Water",2022-02-14,9561.042,"above calibration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3914.879,NA,NA,NA
"EC1","K025","Water",2022-10-03,NA,NA,NA,NA,35.429,NA,3.375,NA,NA,NA,NA,NA,NA,NA,5.747,NA,19.285,NA,6.946,NA,NA,NA,NA,NA
"EC1","K025","Water",2022-09-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015,NA,0.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC1","K025","Water",2022-02-11,587.439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222.924,NA,NA,NA
"EC1","K026","Water",2022-02-16,22638.009,"above calibration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9223.185,NA,NA,NA
"EC1","K026","Water",2022-10-03,NA,NA,NA,NA,2363.033,"above calibration",11.335,NA,NA,NA,NA,NA,NA,NA,249.02,NA,800.457,NA,181.279,NA,NA,NA,NA,NA
"EC1","K026","Water",2022-09-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC1","K029","Water",2022-10-03,NA,NA,NA,NA,210.203,NA,3.365,NA,NA,NA,NA,NA,NA,NA,39.643,NA,128.52,NA,21.928,NA,NA,NA,NA,NA
"EC1","K029","Water",2022-09-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC1","K029","Water",2022-09-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.065,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC1","K029","Water",2022-02-11,3568.847,"above calibration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1435.398,NA,NA,NA
"EC1","K030","Water",2022-10-03,NA,NA,NA,NA,976.853,NA,5.979,NA,NA,NA,NA,NA,NA,NA,116.466,NA,379.378,NA,85.18,NA,NA,NA,NA,NA
"EC1","K030","Water",2022-09-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC1","K030","Water",2022-02-14,3525.352,"above calibration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1445.909,NA,NA,NA
"EC1","K033","Water",2022-02-09,23.627,"above calibration",NA,NA,4.291,NA,0.232,NA,NA,NA,0.075,NA,0.433,NA,1.264,NA,7.768,NA,35.978,NA,9.28,NA,NA,NA
"EC1","K034","Water",2022-09-30,NA,NA,NA,NA,114.478,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.228,NA,54.605,NA,16.465,NA,NA,NA,NA,NA
"EC1","K034","Water",2022-09-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023,NA,1.343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC1","K034","Water",2022-09-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027,NA,1.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC1","K034","Water",2022-02-11,1141.358,"above calibration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,444.122,NA,NA,NA
"EC1","K035","Water",2022-10-03,NA,NA,NA,NA,533.337,NA,6.126,NA,NA,NA,NA,NA,NA,NA,53.201,NA,178.625,NA,39.281,NA,NA,NA,NA,NA
"EC1","K035","Water",2022-09-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025,NA,0.184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC1","K035","Water",2022-02-11,6271.163,"above calibration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2600.063,NA,NA,NA
"EC1","K036","Water",2022-10-03,NA,NA,NA,NA,488.906,NA,4.049,NA,NA,NA,NA,NA,NA,NA,70.13,NA,224.594,NA,55.993,NA,NA,NA,NA,NA
"EC1","K036","Water",2022-09-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,NA,0.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC1","K036","Water",2022-02-11,4449.087,"above calibration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1814.495,NA,NA,NA
"EC1","K037","Water",2022-02-18,327.625,NA,NA,NA,24.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.498,NA,12.107,NA,11.462,NA,102.983,NA,NA,NA
"EC1","K038","Water",2022-02-09,16.925,NA,NA,NA,18.177,NA,0.134,NA,NA,NA,0.069,NA,0.255,NA,2.875,NA,3.338,NA,19.721,NA,13.803,NA,NA,NA
"EC1","K039","Water",2022-02-09,12.46,NA,NA,NA,3.601,NA,0.208,NA,NA,NA,0.062,NA,0.372,NA,0.857,NA,8.779,NA,24.967,NA,4.717,NA,NA,NA
"EC1","K040","Water",2022-02-16,24652.646,"above calibration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9818.768,NA,NA,NA
"EC1","K040","Water",2022-10-03,NA,NA,NA,NA,2538.415,"above calibration",11.408,NA,NA,NA,NA,NA,NA,NA,362.694,NA,1199.103,NA,273.893,NA,NA,NA,NA,NA
"EC1","K040","Water",2022-09-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC1","K041","Water",2022-02-16,25417.512,"above calibration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC1","K041","Water",2022-09-30,NA,NA,0.047,NA,2395.584,"above calibration",NA,NA,NA,NA,NA,NA,NA,NA,329.276,NA,1096.303,NA,260.081,NA,NA,NA,NA,NA
"EC1","K041","Water",2022-09-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC1","K042","Water",2022-02-11,110.498,"above calibration",NA,NA,4.857,NA,0.054,NA,NA,NA,0.036,NA,0.153,NA,3.174,NA,13.68,NA,34.346,NA,35.147,NA,0.531,NA
"EC1","K043","Water",2022-09-30,NA,NA,0.355,NA,1550.126,NA,NA,NA,NA,NA,NA,NA,NA,NA,192.721,NA,633.169,NA,149.484,NA,NA,NA,NA,NA
"EC1","K043","Water",2022-09-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EC1","K043","Water",2022-02-14,14658.099,"above calibration",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5982.367,NA,NA,NA
"EC1","K044","Water",2022-10-03,NA,NA,NA,NA,294.215,NA,3.721,NA,NA,NA,NA,NA,NA,NA,44.745,NA,146.923,NA,37.397,NA,NA,NA,NA,NA
