"campaign","kit_id","transect_location","date_run","fluoride_ppm","fluoride_flag","chloride_ppm","chloride_flag","sulfate_ppm","sulfate_flag","bromide_ppm","bromide_flag","phosphate_ppm","phosphate_flag","nitrite_ppm","nitrite_flag","nitrate_ppm","nitrate_flag","sodium_ppm","sodium_flag","ammonium_ppm","ammonium_flag","potassium_ppm","potassium_flag","magnesium_ppm","magnesium_flag","calcium_ppm","calcium_flag"
"EC1","K020","Water",2022-02-09,0.163,NA,8.331,NA,4.069,NA,0.705,NA,NA,NA,0.063,NA,1.15,NA,4.13,NA,NA,NA,0.692,NA,3.464,NA,15.911,NA
"EC1","K050","Water",2022-02-09,NA,NA,20.029,"above calibration",6.372,NA,1.001,NA,NA,NA,0.075,NA,1.608,NA,11.346,NA,NA,NA,2.034,NA,2.111,NA,7.172,NA
"EC1","K045","Water",2022-02-09,NA,NA,31.836,"above calibration",12.004,NA,1.488,NA,NA,NA,0.034,NA,2.332,NA,13.844,NA,NA,NA,2.793,NA,2.115,NA,9.219,NA
"EC1","K038","Water",2022-02-09,NA,NA,16.925,NA,18.177,NA,0.134,NA,NA,NA,0.069,NA,0.255,NA,13.803,NA,NA,NA,2.875,NA,3.338,NA,19.721,NA
"EC1","K049","Water",2022-02-09,NA,NA,1.97,NA,NA,NA,0.001,"below detect",NA,NA,0.018,NA,0.006,"below detect",1.314,NA,NA,NA,0.875,NA,11.912,NA,32.803,NA
"EC1","K033","Water",2022-02-09,NA,NA,23.627,"above calibration",4.291,NA,0.232,NA,NA,NA,0.075,NA,0.433,NA,9.28,NA,NA,NA,1.264,NA,7.768,NA,35.978,NA
"EC1","K055","Water",2022-02-09,NA,NA,23.986,"above calibration",8.019,NA,1.046,NA,NA,NA,NA,NA,1.657,NA,10.672,NA,NA,NA,1.622,NA,2.709,NA,11.018,NA
"EC1","K019","Water",2022-02-09,NA,NA,18.794,NA,27.005,"above calibration",NA,NA,NA,NA,0.074,NA,0.044,"below detect",11.671,NA,NA,NA,1.903,NA,20.539,NA,28.563,NA
"EC1","K008","Water",2022-02-09,NA,NA,20.666,"above calibration",19.204,NA,0.086,NA,NA,NA,0.077,NA,0.2,NA,9.77,NA,NA,NA,1.934,NA,8.497,NA,29.884,NA
"EC1","K011","Water",2022-02-09,NA,NA,23.501,"above calibration",21.265,"above calibration",0.255,NA,NA,NA,NA,NA,0.521,NA,11.112,NA,NA,NA,2.427,NA,8.98,NA,31.969,NA
"EC1","K023","Water",2022-02-09,NA,NA,52.701,"above calibration",9.188,NA,0.122,NA,NA,NA,0.077,NA,0.232,NA,23.538,NA,NA,NA,3.42,NA,3.805,NA,16.423,NA
"EC1","K053","Water",2022-02-09,NA,NA,92.559,"above calibration",15.549,NA,0.126,NA,NA,NA,0.086,NA,0.31,NA,39.413,NA,NA,NA,7.971,NA,7.965,NA,28.611,NA
"EC1","K022","Water",2022-02-09,NA,NA,26.854,"above calibration",27.671,"above calibration",NA,NA,0.831,NA,0.072,NA,0.196,NA,12.379,NA,NA,NA,4.25,NA,19.51,NA,47.776,NA
"EC1","K039","Water",2022-02-09,NA,NA,12.46,NA,3.601,NA,0.208,NA,NA,NA,0.062,NA,0.372,NA,4.717,NA,NA,NA,0.857,NA,8.779,NA,24.967,NA
"EC1","K004","Water",2022-02-09,NA,NA,41.116,"above calibration",32.79,"above calibration",4.681,NA,NA,NA,0.045,NA,6.888,NA,18.375,NA,NA,NA,3.838,NA,11.808,NA,36.722,NA
"EC1","K009","Water",2022-02-09,NA,NA,35.113,"above calibration",16.925,NA,0.005,"below detect",NA,NA,0.084,NA,0.049,"below detect",17.543,NA,NA,NA,5.931,NA,11.349,NA,47.075,NA
"EC1","K012","Water",2022-02-09,NA,NA,43.379,"above calibration",1.336,NA,0.04,NA,NA,NA,0.102,NA,0.107,"below detect",18.913,NA,1.207,NA,6.635,NA,15.06,NA,43.86,NA
"EC1","K021","Water",2022-02-11,0.387,NA,39.708,"above calibration",3.174,NA,NA,NA,NA,NA,0.075,NA,0.055,"below detect",16.268,NA,NA,NA,3.917,NA,20.171,NA,40.547,NA
"EC1","K048","Water",2022-02-11,NA,NA,84.709,"above calibration",7.856,NA,0.632,NA,NA,NA,0.045,NA,1.138,NA,25.366,NA,NA,NA,2.817,NA,10.029,NA,27.566,NA
"EC1","K042","Water",2022-02-11,NA,NA,110.498,"above calibration",4.857,NA,0.054,NA,NA,NA,0.036,NA,0.153,NA,35.147,NA,0.531,NA,3.174,NA,13.68,NA,34.346,NA
"EC1","K010","Water",2022-02-11,NA,NA,50.868,"above calibration",24.554,"above calibration",0.532,NA,NA,NA,0.136,NA,1.223,NA,22.063,NA,NA,NA,7.13,NA,11.206,NA,49.81,NA
"EC1","K047","Water",2022-02-11,NA,NA,58.953,"above calibration",6.459,NA,0.053,NA,NA,NA,0.013,NA,0.206,NA,27.786,NA,NA,NA,1.395,NA,18.294,NA,50.153,NA
"EC1","K013","Water",2022-02-11,NA,NA,33.507,"above calibration",21.926,"above calibration",5.944,NA,NA,NA,0.366,NA,8.978,NA,9.893,NA,NA,NA,3.518,NA,19.72,NA,57.236,NA
"EC1","K017","Water",2022-02-11,NA,NA,1979.251,"above calibration",196.593,NA,NA,NA,NA,NA,0.727,NA,NA,NA,804.416,NA,NA,NA,26.325,NA,87.423,NA,55.257,NA
"EC1","K029","Water",2022-02-11,NA,NA,3568.847,"above calibration",265.477,NA,NA,NA,NA,NA,1.653,NA,0.538,"below detect",1435.398,NA,NA,NA,45.182,NA,158.853,NA,89.318,NA
"EC1","K044","Water",2022-02-11,NA,NA,1765.239,"above calibration",159.786,NA,NA,NA,NA,NA,0.208,"below detect",NA,NA,701.734,NA,NA,NA,20.06,NA,79.409,NA,51.023,NA
"EC1","K036","Water",2022-02-11,NA,NA,4449.087,"above calibration",440.702,NA,NA,NA,NA,NA,2.05,NA,1.438,"below detect",1814.495,NA,NA,NA,59.695,NA,200.32,NA,100.386,NA
"EC1","K062","Water",2022-02-11,NA,NA,5538.313,"above calibration",525.472,NA,0.296,NA,NA,NA,2.506,NA,1.603,"below detect",NA,NA,NA,NA,73.14,NA,252.684,NA,125.448,NA
"EC1","K054","Water",2022-02-11,NA,NA,6949.982,"above calibration",482.581,NA,NA,NA,NA,NA,2.881,NA,NA,NA,2770.694,NA,NA,NA,83.239,NA,308.475,NA,159.711,NA
