campaign,kit_id,transect_location,acidification,tn_perc,tc_perc,tn_flag,tc_flag
EC1,K010,Transition,FALSE,0.29,3.31,rep outlier,rep outlier
EC1,K009,Transition,FALSE,0.36,4.74,rep outlier,rep outlier
EC1,K015,Transition,FALSE,0.17,2.48,rep outlier,rep outlier
EC1,K011,Transition,FALSE,0.21,2.42,rep outlier,rep outlier
EC1,K049,Transition,FALSE,0.09,0.91,rep outlier,rep outlier
EC1,K045,Transition,FALSE,1.1,15.83,rep outlier,rep outlier
EC1,K021,Transition,FALSE,1.05,11.58,rep outlier,rep outlier
EC1,K036,Transition,FALSE,1.35,14.63,rep outlier,rep outlier
EC1,K062,Transition,FALSE,0.43,6.84,rep outlier,rep outlier
EC1,K034,Transition,FALSE,0.88,9.45,rep outlier,rep outlier
EC1,K048,Transition,FALSE,0.65,7.61,rep outlier,rep outlier
EC1,K054,Transition,FALSE,1.2,24.58,rep outlier,rep outlier
EC1,K022,Transition,FALSE,2,NA,NA,NA
EC1,K018,Transition,FALSE,0.23,3.19,rep outlier,rep outlier
EC1,K047,Transition,FALSE,0.49,7.25,rep outlier,rep outlier
EC1,K059,Transition,FALSE,0.95,14.07,rep outlier,rep outlier
EC1,K052,Transition,FALSE,0.23,3.06,rep outlier,rep outlier
EC1,K001,Transition,FALSE,0.68,9.09,rep outlier,rep outlier
EC1,K058,Transition,FALSE,0.8,9.67,rep outlier,rep outlier
EC1,K061,Transition,FALSE,1.04,7.38,rep outlier,rep outlier
EC1,K042,Transition,FALSE,0.97,12.58,rep outlier,rep outlier
EC1,K019,Transition,FALSE,0.06,1.72,rep outlier,rep outlier
EC1,K050,Transition,FALSE,0.15,2.36,rep outlier,rep outlier
EC1,K046,Transition,FALSE,0.5,5.31,rep outlier,rep outlier
EC1,K044,Transition,FALSE,1.16,14.85,rep outlier,rep outlier
EC1,K029,Transition,FALSE,1.48,19.29,rep outlier,rep outlier
EC1,K025,Transition,FALSE,0.62,7.71,rep outlier,rep outlier
EC1,K041,Transition,FALSE,1.43,22.73,rep outlier,rep outlier
EC1,K035,Transition,FALSE,0.93,9.18,rep outlier,rep outlier
EC1,K039,Transition,FALSE,2.38,24.61,rep outlier,rep outlier
EC1,K004,Transition,FALSE,0.7,7.3,rep outlier,rep outlier
EC1,K040,Transition,FALSE,1.15,21.48,rep outlier,rep outlier
EC1,K013,Transition,FALSE,0.93,9.77,rep outlier,rep outlier
EC1,K051,Transition,FALSE,1.39,21.17,rep outlier,rep outlier
EC1,K024,Transition,FALSE,0.77,9.38,rep outlier,rep outlier
EC1,K017,Transition,FALSE,0.33,3.98,rep outlier,rep outlier
EC1,K056,Transition,FALSE,0.34,3.53,rep outlier,rep outlier
EC1,K053,Transition,FALSE,0.36,4.16,rep outlier,rep outlier
EC1,K026,Transition,FALSE,1.08,11.47,rep outlier,rep outlier
