Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
800	0.15770823209688	0.00296159083422777	0.224238013325181	0.00111213918718361	1.34088253974915	0.154746641262652	0.299185588797905	0.517226253725679	0.00293691408033088	99.3260319629744
797	0.155911507250544		0.222241971157863		1.3260293006897	0.152949916416316	0.293224636449711	0.521613457409972	0.00297409029439553	99.3175298798478
794	0.172389380033212		0.246680349813874		1.31175875663757	0.169427789198984	0.322126250641382	0.525967035786865	0.00301295802758585	99.3086417298029
791	0.178787735110184		0.256012400710423		1.29830348491669	0.175826144275957	0.330937897841797	0.531296492250063	0.00300667279416693	99.3100789631468
788	0.164833665799487		0.236336975297709		1.28535497188568	0.161872074965259	0.302347412605659	0.535384356592406	0.00308288790910226	99.2926523890268
785	0.165073742092473		0.237272424512722		1.27193987369537	0.162112151258245	0.300381683488828	0.539687205209617	0.00316094824021797	99.2748070764119
782	0.172109051817779		0.247967457963028		1.25860202312469	0.169147460983552	0.31069260363037	0.544420623494423	0.00316054204289904	99.2748999285687
779	0.183460723296468		0.264965269250699		1.24614322185516	0.18049913246224	0.328798789593919	0.548965319139906	0.0031507758886698	99.2771323881679
776	0.203880134530794		0.295268096583228		1.23451888561249	0.200918543696566	0.36314108472084	0.553279571357287	0.00322400505822965	99.2603940472971
773	0.234902393394262		0.341241121378167		1.22383856773376	0.231940802560034	0.416262966409356	0.557197784277408	0.00328176158767195	99.2471943523495
770	0.319925649508994		0.467136890833608		1.21381187438965	0.316964058674766	0.565666377307917	0.560337455768965	0.00330255057581052	99.2424436602484
767	0.45473255738708		0.664196796052055		1.20520555973053	0.451770966552852	0.799153315025554	0.565312009671644	0.00335620761387434	99.2301830240731
764	0.434151560765216		0.632529637365114		1.19851565361023	0.431189969930988	0.756763755529659	0.569781476425491	0.00336688319569184	99.2277438337038
761	0.352715904962687		0.514555957721768		1.19181299209595	0.349754314128459	0.611929013640871	0.571560273057625	0.00342636024477703	99.2141554287662
758	0.356877095131607		0.521384963126609		1.18398952484131	0.353915504297379	0.615997573603887	0.574540419415616	0.00351199288262193	99.1945946637843
755	0.392663731341149		0.574253098901687		1.17633533477783	0.389702140506922	0.674205962720648	0.578016454992985	0.00354039708348629	99.1881072429837
752	0.432581748454594		0.632902519138527		1.16980671882629	0.429620157620366	0.739072631356898	0.581296261548214	0.00356816051162185	99.1817665824828
749	0.473203495118449		0.69261873288917		1.16390073299408	0.470241904284222	0.804845031279982	0.584263909210416	0.00365224741595331	99.1625651402712
746	0.542201540191868		0.794020677064066		1.15848278999329	0.53923994935764	0.918570895169108	0.587042276424801	0.00375233126338952	99.1397156038951
743	0.62935225609119		0.921107591534279		1.15345752239227	0.626390665256962	1.06117567507644	0.59027989424262	0.00379292610941769	99.130449141691
740	0.71276089040146		1.04247510691846		1.14841175079346	0.709799299567232	1.19591346898374	0.593520616646621	0.00381503676041718	99.1254023748966
737	0.866034967547796		1.26622600171531		1.14263534545898	0.863073376713568	1.44556381535478	0.597049654637175	0.00385333118262805	99.1166622623295
734	1.00410920985497		1.46581251733626		1.13635516166687	1.00114761902074	1.66441983500512	0.601499452220633	0.00385144411194939	99.1170929391197
731	1.0368827518993		1.51299515874929		1.12990951538086	1.03392116106507	1.70829100994597	0.60523713761028	0.00381219718389499	99.1260504952326
728	1.02124976856333		1.49276596083208		1.12338900566101	1.0182881777291	1.6757075034881	0.607676563845101	0.0037530259215443	99.1395570291038
725	1.01706044668066		1.4911895265122		1.11702907085419	1.01409885584643	1.6644597594645	0.609266069714229	0.00371676715718429	99.1478344262361
722	1.02395036822295		1.50584798104348		1.11090362071991	1.02098877738872	1.67161649494518	0.610779314798642	0.00372877457133338	99.1450932156013
719	0.988832972733389		1.45698553006684		1.10438621044159	0.985871381899161	1.60784649703634	0.61316262697737	0.00376201789865504	99.1375043864016
716	0.872895261404661		1.28787377293008		1.09723365306854	0.869933670570433	1.41187816802017	0.616153497004854	0.00385204944613137	99.116954786495
713	0.702682819152667		1.03863671032735		1.08915162086487	0.699721228318439	1.13002156834444	0.619210507055701	0.00394951423502954	99.0947133591722
710	0.537294492787159		0.7978510634013		1.07961905002594	0.534332901952931	0.860174520478734	0.621191269017764	0.00404650971278508	99.0725839833658
