EX	EM	
nm	nm	
		Z of Processed Data: RM_IFE_NRM
800	247.111	0
800	249.35	0
800	251.589	0
800	253.829	0
800	256.071	0
800	258.313	0
800	260.556	0
800	262.8	0
800	265.045	0
800	267.291	0
800	269.538	0
800	271.785	0
800	274.034	0
800	276.284	0
800	278.534	0
800	280.785	0
800	283.038	0
800	285.291	0
800	287.545	0
800	289.8	0
800	292.056	0
800	294.313	0
800	296.571	0
800	298.83	0
800	301.089	0
800	303.35	0
800	305.611	0
800	307.873	0
800	310.137	0
800	312.401	0
800	314.665	0
800	316.931	0
800	319.198	0
800	321.465	0
800	323.734	0
800	326.003	0
800	328.273	0
800	330.544	0
800	332.816	0
800	335.089	0
800	337.363	0
800	339.637	0
800	341.912	0
800	344.189	0
800	346.466	0
800	348.743	0
800	351.022	0
800	353.302	0
800	355.582	0
800	357.863	0
800	360.145	0
800	362.428	0
800	364.712	0
800	366.996	0
800	369.282	0
800	371.568	0
800	373.855	0
800	376.143	0
800	378.431	0
800	380.721	0
800	383.011	0
800	385.302	0
800	387.594	0
800	389.886	0
800	392.18	0
800	394.474	0
800	396.769	0
800	399.064	0
800	401.361	0
800	403.658	0
800	405.956	0
800	408.255	0
800	410.555	0
800	412.855	0
800	415.157	0
800	417.459	0
800	419.761	0
800	422.065	0
800	424.369	0
800	426.674	0
800	428.98	0
800	431.286	0
800	433.593	0
800	435.901	0
800	438.21	0
800	440.519	0
800	442.83	0
800	445.141	0
800	447.452	0
800	449.764	0
800	452.078	0
800	454.391	0
800	456.706	0
800	459.021	0
800	461.337	0
800	463.654	0
800	465.971	0
800	468.289	0
800	470.608	0
800	472.927	0
800	475.247	0
800	477.568	0
800	479.889	0
800	482.212	0
800	484.534	0
800	486.858	0
800	489.182	0
800	491.507	0
800	493.833	0
800	496.159	0
800	498.486	0
800	500.813	0
800	503.141	0
800	505.47	0
800	507.8	0
800	510.13	0
800	512.461	0
800	514.792	0
800	517.124	0
800	519.457	0
800	521.79	0
800	524.124	0
800	526.458	0
800	528.794	0
800	531.129	0
800	533.466	0
800	535.803	0
800	538.14	0
800	540.479	0
800	542.817	0
800	545.157	0
800	547.497	0
800	549.838	0
800	552.179	0
800	554.521	0
800	556.863	0
800	559.206	0
800	561.549	0
800	563.893	0
800	566.238	0
800	568.583	0
800	570.929	0
800	573.276	0
800	575.622	0
800	577.97	0
800	580.318	0
800	582.666	0
800	585.016	0
800	587.365	0
800	589.715	0
800	592.066	0
800	594.417	0
800	596.769	0
800	599.121	0
800	601.474	0
800	603.828	0
800	606.181	0
800	608.536	0
800	610.891	0
800	613.246	0
800	615.602	0
800	617.958	0
800	620.315	0
800	622.672	0
800	625.03	0
800	627.388	0
800	629.747	0
800	632.106	0
800	634.466	0
800	636.826	0
800	639.187	0
800	641.548	0
800	643.91	0
800	646.272	0
800	648.634	0
800	650.997	0
800	653.361	0
800	655.724	0
800	658.089	0
800	660.453	0
800	662.818	0
800	665.184	0
800	667.55	0
800	669.916	0
800	672.283	0
800	674.65	0
800	677.018	0
800	679.386	0
800	681.754	0
800	684.123	0
800	686.492	0
800	688.862	0
800	691.232	0
800	693.602	0
800	695.973	0
800	698.344	0
800	700.716	0
800	703.088	0
800	705.46	0
800	707.832	0
800	710.205	0
800	712.579	0
800	714.952	0
800	717.326	0
800	719.701	0
800	722.075	0
800	724.45	0
800	726.826	0
800	729.201	0
800	731.577	0
800	733.954	0
800	736.33	0
800	738.707	0
800	741.085	0
800	743.462	0
800	745.84	0
800	748.218	0
800	750.597	0
800	752.975	0
800	755.355	0
800	757.734	0
800	760.113	0
800	762.493	0
800	764.874	0
800	767.254	0
800	769.635	0
800	772.016	0
800	774.397	0
800	776.778	0
800	779.16	0
800	781.542	0
800	783.924	0
800	786.307	0
800	788.689	0
800	791.072	0
800	793.455	0
800	795.839	0
800	798.222	0
800	800.606	0
800	802.99	0
800	805.374	0
800	807.759	0
